dist_m,replicate,soil_layer,core,species_name,length_mm
1400,0,S,U,Hydrobia_ulvae,4
1400,0,S,U,Hydrobia_ulvae,4
1400,0,S,U,Hydrobia_ulvae,4
1400,0,S,U,Hydrobia_ulvae,4
1400,0,S,U,Hydrobia_ulvae,4
1400,0,S,U,Hydrobia_ulvae,4
1400,0,S,U,Hydrobia_ulvae,4
1400,0,S,U,Hydrobia_ulvae,4
1400,0,S,U,Hydrobia_ulvae,4
1400,0,S,U,Hydrobia_ulvae,4
1400,0,S,U,Hydrobia_ulvae,4
1400,0,S,U,Hydrobia_ulvae,4
1400,0,S,U,Hydrobia_ulvae,4
1400,0,S,U,Hydrobia_ulvae,4
1400,0,S,U,Hydrobia_ulvae,4
1400,0,S,U,Hydrobia_ulvae,4
1400,0,S,U,Hydrobia_ulvae,4
1400,0,S,U,Hydrobia_ulvae,4
1400,0,S,U,Hydrobia_ulvae,4
1400,0,S,U,Hydrobia_ulvae,4
1400,0,S,U,Hydrobia_ulvae,4
1400,0,S,U,Hydrobia_ulvae,4
1400,0,S,U,Hydrobia_ulvae,4
1400,0,S,U,Hydrobia_ulvae,4
1400,2,S,M,Gramarus_locusta,7
1400,2,S,M,Gramarus_locusta,7
1400,2,S,M,Hydrobia_ulvae,3
1400,2,S,M,Hydrobia_ulvae,3
1400,2,S,M,Hydrobia_ulvae,3
1400,2,S,M,Hydrobia_ulvae,3
1400,2,S,M,Hydrobia_ulvae,3
1400,2,S,M,Hydrobia_ulvae,3
1400,2,S,M,Hydrobia_ulvae,3
1400,2,S,M,Hydrobia_ulvae,3
1400,2,S,M,Hydrobia_ulvae,3
1400,2,S,M,Hydrobia_ulvae,3
1400,2,S,M,Hydrobia_ulvae,3
1400,2,S,M,Hydrobia_ulvae,3
1400,2,S,M,Hydrobia_ulvae,3
1400,2,S,M,Hydrobia_ulvae,3
1400,2,S,M,Hydrobia_ulvae,3
1400,2,S,M,Hydrobia_ulvae,3
1400,2,S,M,Hydrobia_ulvae,3
1400,2,S,M,Hydrobia_ulvae,3
1400,2,S,M,Hydrobia_ulvae,3
1400,2,S,M,Hydrobia_ulvae,3
1400,2,S,M,Hydrobia_ulvae,3
1400,2,S,M,Hydrobia_ulvae,3
1400,2,S,M,Hydrobia_ulvae,3
1400,2,S,M,Hydrobia_ulvae,3
1400,2,S,M,Hydrobia_ulvae,3
1400,2,S,M,Hydrobia_ulvae,3
1400,2,S,M,Hydrobia_ulvae,3
1400,2,S,M,Hydrobia_ulvae,3
1400,2,S,M,Hydrobia_ulvae,3
1400,2,S,M,Hydrobia_ulvae,3
1400,2,S,M,Hydrobia_ulvae,3
1400,2,S,M,Hydrobia_ulvae,3
1400,2,S,M,Hydrobia_ulvae,3
1400,2,S,M,Hydrobia_ulvae,3
1400,2,S,M,Hydrobia_ulvae,3
1400,2,S,M,Hydrobia_ulvae,3
1400,2,S,M,Hydrobia_ulvae,3
1400,2,S,M,Hydrobia_ulvae,3
1400,2,S,M,Hydrobia_ulvae,3
1400,2,S,M,Hydrobia_ulvae,3
1400,2,S,M,Hydrobia_ulvae,3
1400,2,S,M,Hydrobia_ulvae,3
